datetime,dollar,d_dollar,day_of_week,sin_month,cos_month
2013-03-05,30.787,0.1488999999999976,1,0.8660254037844386,0.5000000000000001
2013-03-06,30.6963,-0.09069999999999823,2,0.8660254037844386,0.5000000000000001
2013-03-07,30.6214,-0.07489999999999952,3,0.8660254037844386,0.5000000000000001
2013-03-08,30.7628,0.1413999999999973,4,0.8660254037844386,0.5000000000000001
2013-03-09,30.7628,0.0,5,0.8660254037844386,0.5000000000000001
2013-03-10,30.7628,0.0,6,0.8660254037844386,0.5000000000000001
2013-03-11,30.7628,0.0,0,0.8660254037844386,0.5000000000000001
2013-03-12,30.7576,-0.005199999999998539,1,0.8660254037844386,0.5000000000000001
2013-03-13,30.7499,-0.007699999999999818,2,0.8660254037844386,0.5000000000000001
2013-03-14,30.7209,-0.028999999999999915,3,0.8660254037844386,0.5000000000000001
2013-03-15,30.7769,0.05600000000000094,4,0.8660254037844386,0.5000000000000001
2013-03-16,30.7196,-0.05730000000000146,5,0.8660254037844386,0.5000000000000001
2013-03-17,30.7196,0.0,6,0.8660254037844386,0.5000000000000001
2013-03-18,30.7196,0.0,0,0.8660254037844386,0.5000000000000001
2013-03-19,30.8908,0.1711999999999989,1,0.8660254037844386,0.5000000000000001
2013-03-20,30.8285,-0.062300000000000466,2,0.8660254037844386,0.5000000000000001
2013-03-21,30.9446,0.11610000000000298,3,0.8660254037844386,0.5000000000000001
2013-03-22,30.8923,-0.052300000000002456,4,0.8660254037844386,0.5000000000000001
2013-03-23,30.9325,0.040200000000002234,5,0.8660254037844386,0.5000000000000001
2013-03-24,30.9325,0.0,6,0.8660254037844386,0.5000000000000001
2013-03-25,30.9325,0.0,0,0.8660254037844386,0.5000000000000001
2013-03-26,30.7585,-0.1739999999999995,1,0.8660254037844386,0.5000000000000001
2013-03-27,30.8734,0.11489999999999867,2,0.8660254037844386,0.5000000000000001
2013-03-28,30.863,-0.010400000000000631,3,0.8660254037844386,0.5000000000000001
2013-03-29,30.9962,0.1332000000000022,4,0.8660254037844386,0.5000000000000001
2013-03-30,31.0834,0.08719999999999928,5,0.8660254037844386,0.5000000000000001
2013-03-31,31.0834,0.0,6,0.8660254037844386,0.5000000000000001
2013-04-01,31.0834,0.0,0,1.0,6.123233995736766e-17
2013-04-02,31.1093,0.025900000000000034,1,1.0,6.123233995736766e-17
2013-04-03,31.1178,0.008499999999997954,2,1.0,6.123233995736766e-17
2013-04-04,31.3918,0.2740000000000009,3,1.0,6.123233995736766e-17
2013-04-05,31.7203,0.3285000000000018,4,1.0,6.123233995736766e-17
2013-04-06,31.6207,-0.09960000000000235,5,1.0,6.123233995736766e-17
2013-04-07,31.6207,0.0,6,1.0,6.123233995736766e-17
2013-04-08,31.6207,0.0,0,1.0,6.123233995736766e-17
2013-04-09,31.6144,-0.006299999999999528,1,1.0,6.123233995736766e-17
2013-04-10,31.2086,-0.4057999999999993,2,1.0,6.123233995736766e-17
2013-04-11,31.0036,-0.20500000000000185,3,1.0,6.123233995736766e-17
2013-04-12,30.8814,-0.12219999999999942,4,1.0,6.123233995736766e-17
2013-04-13,30.9308,0.04940000000000211,5,1.0,6.123233995736766e-17
2013-04-14,30.9308,0.0,6,1.0,6.123233995736766e-17
2013-04-15,30.9308,0.0,0,1.0,6.123233995736766e-17
2013-04-16,31.3051,0.3742999999999981,1,1.0,6.123233995736766e-17
2013-04-17,31.4512,0.14610000000000056,2,1.0,6.123233995736766e-17
2013-04-18,31.232,-0.21920000000000073,3,1.0,6.123233995736766e-17
2013-04-19,31.7151,0.4831000000000003,4,1.0,6.123233995736766e-17
2013-04-20,31.4605,-0.25459999999999994,5,1.0,6.123233995736766e-17
2013-04-21,31.4605,0.0,6,1.0,6.123233995736766e-17
2013-04-22,31.4605,0.0,0,1.0,6.123233995736766e-17
2013-04-23,31.5664,0.10590000000000188,1,1.0,6.123233995736766e-17
2013-04-24,31.6414,0.07499999999999929,2,1.0,6.123233995736766e-17
